frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
89,7416.667,2,0,confirmed,742.756,73.889,800.092,172.419,0.4562
89,7416.667,4,0,confirmed,757.051,141.126,765.277,166.890,0.3960
90,7500.000,2,0,confirmed,745.878,70.868,803.403,169.722,0.4562
90,7500.000,4,0,confirmed,761.979,153.788,762.545,155.557,0.3960
91,7583.333,2,0,confirmed,749.001,67.848,806.713,167.024,0.4562
91,7583.333,4,0,confirmed,763.078,154.452,763.643,156.222,0.3960
92,7666.667,2,0,confirmed,752.124,64.828,810.023,164.326,0.4562
92,7666.667,4,0,confirmed,764.176,155.117,764.741,156.887,0.3960
93,7750.000,4,0,confirmed,765.274,155.782,765.840,157.552,0.3960
94,7833.333,4,0,confirmed,766.373,156.447,766.938,158.216,0.3960
95,7916.667,4,0,confirmed,767.471,157.111,768.036,158.881,0.3960
96,8000.000,4,0,confirmed,768.569,157.776,769.135,159.546,0.3960
171,14250.000,5,0,tentative,101.940,377.472,258.533,430.805,0.2531
172,14333.333,5,0,tentative,77.751,364.235,264.885,428.525,0.5616
173,14416.667,5,0,confirmed,79.402,354.743,274.498,427.108,0.5366
174,14500.000,5,0,confirmed,80.775,345.003,281.175,425.977,0.4132
175,14583.333,5,0,confirmed,80.337,334.568,285.643,424.772,0.3517
176,14666.667,5,0,confirmed,76.811,326.008,295.071,421.903,0.3517
177,14750.000,5,0,confirmed,73.649,317.608,304.135,418.875,0.3517
178,14833.333,5,0,confirmed,70.795,309.343,312.891,415.711,0.3517
179,14916.667,5,0,confirmed,68.208,301.195,321.380,412.430,0.3517
180,15000.000,5,0,confirmed,65.852,293.149,329.638,409.047,0.3517
180,15000.000,6,2,tentative,86.879,276.789,284.383,428.684,0.2760
181,15083.333,5,0,confirmed,63.702,285.194,337.690,405.574,0.3517
181,15083.333,6,2,tentative,87.144,267.560,286.892,427.000,0.3225
182,15166.667,5,0,confirmed,61.735,277.319,345.559,402.021,0.3517
183,15250.000,5,0,confirmed,59.933,269.516,353.263,398.395,0.3517
183,15250.000,7,2,tentative,92.096,248.171,283.796,428.210,0.2975
184,15333.333,5,0,confirmed,58.280,261.779,360.818,394.703,0.3517
184,15333.333,7,2,tentative,92.955,240.414,284.914,426.982,0.3829
185,15416.667,5,0,confirmed,56.764,254.102,368.237,390.952,0.3517
186,15500.000,5,0,confirmed,55.371,246.479,375.531,387.145,0.3517
187,15583.333,5,0,confirmed,54.094,238.907,382.710,383.289,0.3517
189,15750.000,8,67,tentative,116.353,199.389,270.597,424.164,0.2507
190,15833.333,8,67,tentative,119.122,191.427,268.351,412.739,0.7742
191,15916.667,8,67,confirmed,122.043,183.949,265.922,400.584,0.7713
192,16000.000,8,67,confirmed,124.677,177.782,262.755,388.464,0.8247
193,16083.333,8,67,confirmed,125.849,170.910,260.708,378.424,0.8793
194,16166.667,8,67,confirmed,126.089,164.100,258.938,368.188,0.8188
195,16250.000,8,67,confirmed,124.785,157.918,257.119,359.274,0.7824
196,16333.333,8,67,confirmed,121.845,151.597,255.101,349.991,0.5904
197,16416.667,8,67,confirmed,118.096,145.491,253.366,341.923,0.6439
198,16500.000,8,67,confirmed,113.356,140.046,251.115,333.931,0.6869
199,16583.333,8,67,confirmed,107.876,135.506,248.193,326.891,0.4109
199,16583.333,9,2,tentative,102.494,137.996,251.611,324.808,0.3384
200,16666.667,8,67,confirmed,102.228,130.936,245.640,319.766,0.2926
200,16666.667,9,2,tentative,96.624,132.707,248.584,319.377,0.4247
201,16750.000,8,67,confirmed,95.974,126.710,242.211,312.619,0.4514
201,16750.000,9,2,confirmed,91.101,128.299,244.556,312.548,0.3976
202,16833.333,8,67,confirmed,94.060,120.191,239.102,304.581,0.4514
202,16833.333,9,2,confirmed,84.689,123.741,240.457,306.168,0.5288
203,16916.667,8,67,confirmed,92.152,113.679,235.989,296.536,0.4514
203,16916.667,9,2,confirmed,77.790,119.707,236.506,299.275,0.3964
204,17000.000,8,67,confirmed,90.249,107.174,232.870,288.486,0.4514
204,17000.000,9,2,confirmed,70.456,116.535,231.589,293.123,0.4945
205,17083.333,8,67,confirmed,88.351,100.674,229.747,280.428,0.4514
205,17083.333,9,2,confirmed,62.525,113.798,226.739,286.902,0.7849
206,17166.667,8,67,confirmed,86.458,94.182,226.617,272.364,0.4514
206,17166.667,9,2,confirmed,54.614,111.831,221.688,281.149,0.8455
207,17250.000,8,67,confirmed,84.571,87.697,223.483,264.293,0.4514
207,17250.000,9,2,confirmed,46.098,109.732,216.752,276.170,0.7193
